severity,lng,lat
property,149.115357,-35.258775
injury,149.152805,-35.194186
property,149.143709,-35.334178
property,149.130414,-35.253845
injury,149.072411,-35.426957
property,149.134946,-35.305833
injury,149.109223,-35.242787
injury,149.055423,-35.238746
property,149.11732,-35.27241
property,149.144903,-35.231376
property,149.120388,-35.418775
injury,149.065867,-35.319149
property,149.057956,-35.236105
property,149.124895,-35.27853
injury,149.049171,-35.333777
injury,149.114206,-35.265389
injury,149.12657,-35.29091
injury,149.123957,-35.28265
injury,149.123573,-35.266846
property,149.077086,-35.428751
property,149.073649,-35.426473
injury,149.111135,-35.279366
property,149.125709,-35.240485
property,149.127742,-35.193327
injury,149.13176,-35.262853
injury,149.132636,-35.2041
property,149.125714,-35.275179
injury,149.132019,-35.261246
injury,149.069767,-35.424782
property,149.130454,-35.270939
injury,149.129275,-35.278236
property,149.120304,-35.272926
injury,149.098193,-35.301612
property,149.121868,-35.264223
property,149.126137,-35.312196
injury,149.1252,-35.266172
property,149.13287,-35.182986
injury,149.075339,-35.417082
property,149.118655,-35.277666
property,149.123857,-35.282689
injury,149.133338,-35.261831
property,149.1268,-35.275461
injury,149.140275,-35.251123
injury,149.126355,-35.28382
property,149.129574,-35.275762
injury,149.063433,-35.330494
property,149.083651,-35.33843
injury,149.048573,-35.206677
injury,149.126108,-35.265776
property,149.131415,-35.273192
injury,149.086945,-35.26207
property,149.134779,-35.322431
property,149.129532,-35.276646
property,149.128276,-35.275739
property,149.161833,-35.284411
property,149.120875,-35.255322
injury,149.125074,-35.275273
property,149.111562,-35.265367
injury,149.067484,-35.247754
property,149.122239,-35.335625
property,149.130886,-35.28373
injury,149.135129,-35.25224
property,149.138838,-35.254821
injury,149.147232,-35.282333
property,149.150405,-35.29778
injury,149.084099,-35.348608
property,149.064864,-35.419032
property,149.131393,-35.26512
property,149.134855,-35.321076
property,149.150951,-35.193494
property,149.134168,-35.273048
injury,149.149303,-35.279301
property,149.080857,-35.353043
property,149.106853,-35.178092
injury,149.053957,-35.330323
property,149.141563,-35.317049
property,149.139669,-35.249329
property,149.123959,-35.28265
property,149.12932,-35.277957
property,149.125246,-35.284704
property,149.132023,-35.26122
property,149.142361,-35.248793
property,149.136502,-35.251268
injury,149.141125,-35.289262
injury,149.1174,-35.300358
injury,149.130427,-35.253827
property,149.146142,-35.271558
property,149.083127,-35.326443
property,149.132426,-35.302994
property,149.169303,-35.32341
property,149.143272,-35.243244
property,149.114575,-35.26842
property,149.128077,-35.276971
property,149.133382,-35.303565
property,149.143474,-35.275055
injury,149.073611,-35.260864
property,149.132642,-35.273325
property,149.121906,-35.300499
injury,149.148222,-35.293509
property,149.138093,-35.324095
injury,149.134102,-35.248345
property,149.06312,-35.399737
injury,149.128295,-35.275624
injury,149.140296,-35.251127
injury,149.084132,-35.348701
property,149.142926,-35.291805
injury,149.077339,-35.393729
injury,149.122297,-35.264951
injury,149.124508,-35.266475
property,149.145365,-35.311256
injury,149.132234,-35.260533
property,149.158854,-35.251179
property,149.161086,-35.225955
property,149.126834,-35.183814
property,149.091321,-35.338898
property,149.121761,-35.273576
property,149.131589,-35.273211
injury,149.074448,-35.226051
property,149.128082,-35.27694
injury,149.133305,-35.252666
property,149.0928,-35.384226
property,149.132593,-35.266374
injury,149.124464,-35.280817
property,149.13272,-35.276104
property,149.144861,-35.271907
property,149.125413,-35.263589
injury,149.133711,-35.273441
property,149.16385,-35.290923
injury,149.118149,-35.272652
property,149.125715,-35.275173
injury,149.133289,-35.253385
property,149.18312,-35.340517
property,149.107405,-35.283628
injury,149.109455,-35.412372
property,149.129049,-35.275705
property,149.064688,-35.348416
property,149.145214,-35.310996
property,149.131428,-35.264908
injury,149.04047,-35.353765
property,149.098154,-35.313234
property,149.132981,-35.272028
injury,149.082437,-35.358827
property,149.077651,-35.424044
property,149.117407,-35.300366
injury,149.084806,-35.406513
property,149.122234,-35.264979
property,149.148832,-35.285674
property,149.135435,-35.263982
property,149.085983,-35.414252
injury,149.141909,-35.318615
property,149.114887,-35.278112
injury,149.082546,-35.342123
property,149.128183,-35.256522
injury,149.089398,-35.341102
injury,149.123928,-35.278966
injury,149.132234,-35.260533
property,149.057992,-35.235828
property,149.129857,-35.274629
property,149.177945,-35.331684
property,149.163375,-35.285931
injury,149.123722,-35.241923
injury,149.094767,-35.415034
