,school,type,district,capacity,capacity_now,capacity_2027,lng,lat,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
44,Hughes Primary,primary,Woden Valley,576.0,0.795138889,0.760416667,149.0928965,-35.3315101,299.0,293.0,281.0,283.0,301.0,366.0,392.0,422.0,421.0,431.0,417.0,412.0,397.0,458.0,454.0,457.0,452.0,444.0,438.0
45,Isabella Plains Early Childhood,primary,Tuggeranong,189.0,0.613756614,0.518518519,149.0877543,-35.4281477,23.0,61.0,79.0,92.0,97.0,101.0,99.0,105.0,115.0,110.0,109.0,104.0,111.0,116.0,108.0,104.0,102.0,101.0,98.0
46,Kaleen Primary,primary,Belconnen,558.0,0.822580645,0.740143369,149.1132772,-35.22436613,436.0,453.0,443.0,472.0,484.0,495.0,500.0,555.0,533.0,510.0,472.0,465.0,471.0,459.0,437.0,428.0,425.0,418.0,413.0
47,Kingsford Smith School*,primary,Belconnen,550.8118081,0.642687747,0.724385342,149.0209436,-35.2278465,531.0,512.0,493.0,504.0,480.0,471.0,468.0,483.0,474.0,462.0,458.0,444.0,409.0,354.0,367.0,385.0,372.0,386.0,399.0
48,Kingsford Smith School*,high,Belconnen,714.1881919,0.642687747,0.606282777,149.0209436,-35.2278465,126.0,244.0,320.0,376.0,372.0,339.0,335.0,317.0,332.0,348.0,413.0,434.0,447.0,459.0,452.0,442.0,431.0,423.0,433.0
49,Lake Tuggeranong College,college,Tuggeranong,928.0,0.623922414,0.811422414,149.0682606,-35.41375357,821.0,785.0,805.0,874.0,848.0,776.0,809.0,783.0,738.0,715.0,670.0,645.0,615.0,579.0,664.0,712.0,715.0,746.0,753.0
50,Lanyon High,high,Tuggeranong,795.0,0.553459119,0.628930818,149.0952554,-35.46046148,619.0,636.0,561.0,531.0,469.0,426.0,355.0,341.0,333.0,350.0,369.0,372.0,402.0,440.0,473.0,479.0,503.0,493.0,500.0
51,Latham Primary,primary,Belconnen,438.0,0.803652968,0.801369863,149.0345576,-35.21980311,219.0,236.0,242.0,253.0,264.0,268.0,288.0,277.0,270.0,269.0,304.0,330.0,332.0,352.0,369.0,382.0,375.0,367.0,351.0
52,Lyneham High,high,North Canberra,1126.0,0.919182948,0.978685613,149.1305519,-35.25245947,999.0,1018.0,1035.0,1049.0,1068.0,1054.0,1050.0,1065.0,1084.0,1119.0,1101.0,1076.0,1078.0,1035.0,1088.0,1091.0,1115.0,1119.0,1102.0
53,Lyneham Primary,primary,North Canberra,625.0,0.768,0.7184,149.1256668,-35.25145814,397.0,359.0,358.0,363.0,349.0,359.0,400.0,422.0,430.0,455.0,470.0,455.0,469.0,480.0,470.0,467.0,458.0,448.0,449.0
54,Lyons Early Childhood,primary,Woden Valley,126.0,0.73015873,0.76984127,149.0743474,-35.3415836,7.0,18.0,53.0,64.0,90.0,105.0,113.0,104.0,90.0,78.0,70.0,68.0,80.0,92.0,88.0,92.0,96.0,97.0,97.0
55,Macgregor Primary,primary,Belconnen,715.0,0.73006993,0.686713287,149.0121176,-35.21263112,296.0,319.0,336.0,358.0,379.0,400.0,450.0,494.0,503.0,507.0,518.0,524.0,539.0,522.0,507.0,513.0,515.0,500.0,491.0
56,Macquarie Primary,primary,Belconnen,433.0,0.702078522,0.692840647,149.0599266,-35.25134444,245.0,242.0,242.0,273.0,301.0,341.0,331.0,337.0,365.0,353.0,329.0,305.0,303.0,304.0,306.0,299.0,299.0,296.0,300.0
57,Majura Primary,primary,North Canberra,906.0,0.798013245,0.857615894,149.1546278,-35.23838146,373.0,431.0,455.0,509.0,490.0,505.0,511.0,516.0,544.0,591.0,601.0,673.0,718.0,723.0,741.0,760.0,754.0,767.0,777.0
58,Margaret Hendry School,primary,Gungahlin,600.0,0.811666667,1.431666667,149.1092086,-35.15087484,,,,,,,,,,,142.0,357.0,473.0,487.0,587.0,683.0,769.0,824.0,859.0
59,Maribyrnong Primary,primary,Belconnen,689.0,0.679245283,0.708272859,149.1033401,-35.2346434,228.0,217.0,214.0,206.0,212.0,254.0,292.0,292.0,344.0,415.0,470.0,500.0,471.0,468.0,466.0,483.0,488.0,486.0,488.0
